QUAL	0	145.0	58	33	25	0
QUAL	0	145.1	2	1	1	0
QUAL	0	145.2	1	1	0	0
QUAL	0	145.3	4	1	3	0
QUAL	0	145.4	5	4	1	0
QUAL	0	146.0	33	19	14	0
QUAL	0	146.2	3	2	1	0
QUAL	0	146.3	1	1	0	0
QUAL	0	146.4	11	4	7	0
QUAL	0	147.0	61	32	29	0
QUAL	0	147.2	6	3	3	0
QUAL	0	147.4	5	3	2	0
QUAL	0	148.0	71	45	26	0
QUAL	0	148.3	8	3	5	0
QUAL	0	148.4	5	4	1	0
QUAL	0	149.0	35	28	7	0
QUAL	0	149.2	1	1	0	0
QUAL	0	149.3	2	1	1	0
QUAL	0	149.4	12	5	7	0
QUAL	0	149.6	1	0	1	0
QUAL	0	149.7	1	1	0	0
QUAL	0	150.0	55	38	17	0
QUAL	0	150.1	1	0	1	0
QUAL	0	150.3	1	1	0	0
QUAL	0	150.4	4	4	0	0
QUAL	0	151.0	68	44	24	0
QUAL	0	151.2	1	0	1	0
QUAL	0	151.4	2	1	1	0
QUAL	0	152.0	38	23	15	0
QUAL	0	152.2	2	2	0	0
QUAL	0	152.3	2	2	0	0
QUAL	0	152.4	16	10	6	0
QUAL	0	153.0	64	47	17	0
QUAL	0	153.3	1	1	0	0
QUAL	0	153.4	3	2	1	0
QUAL	0	154.0	55	46	9	0
QUAL	0	154.1	1	0	1	0
QUAL	0	154.2	1	1	0	0
QUAL	0	154.4	4	2	2	0
QUAL	0	155.0	39	27	12	0
QUAL	0	155.2	3	3	0	0
QUAL	0	155.4	9	5	4	0
QUAL	0	156.0	45	27	18	0
QUAL	0	156.1	1	1	0	0
QUAL	0	156.3	1	1	0	0
QUAL	0	156.4	2	1	1	0
QUAL	0	157.0	71	46	25	0
QUAL	0	157.1	2	2	0	0
QUAL	0	157.2	2	1	1	0
QUAL	0	157.4	7	3	4	0
QUAL	0	157.8	1	0	1	0
QUAL	0	158.0	43	31	12	0
QUAL	0	158.2	1	0	1	0
QUAL	0	158.3	1	1	0	0
QUAL	0	158.4	11	8	3	0
QUAL	0	158.5	1	0	1	0
QUAL	0	159.0	50	35	15	0
QUAL	0	159.4	4	1	3	0
QUAL	0	160.0	69	48	21	0
QUAL	0	160.1	1	0	1	0
QUAL	0	160.4	5	4	1	0
QUAL	0	161.0	44	29	15	0
QUAL	0	161.2	5	4	1	0
QUAL	0	161.3	1	0	1	0
QUAL	0	161.4	20	15	5	0
QUAL	0	162.0	46	30	16	0
QUAL	0	162.3	1	1	0	0
